blockNumber	transactionHash	status	gasUsed	cumulativeGasUsed	effectiveGasPrice
8987575	0xbba1b0b03c5b09192d80d4fd5e40123f1cb711f5721106d645df634c0fbae504	1	99737	505147	22500000000
8987577	0xd0ef098a38496405d3a874d4caf0f745d2f84e54a7d39324437a62a73f38e50d	1	99793	920305	22500000000
8989142	0x03853c6d710f89e0d7657eb46c823251b6687b690667bb97120bc8d280e33d0b	1	99673	7219585	18000000000
8989142	0x698d0ab90a33f347a6824e3920f101c4664f4c6562885857bd02153e7e33ff26	1	99673	7418931	18000000000
8989142	0xf4251110efbdb1d732fcd8b86683a7372b3dcd8c0f4e00d9ee9a8a7a436cb2a7	1	99673	7319258	18000000000
8989143	0x3a2527a9350f1c04de7a5172819b353a154b8a28b985fe48f2090d6d047e413c	1	99793	957480	15000000000
8989143	0xb8e52479728cfcfda67f8f74539ee6cd3005bce9dbc7180ec222ef422e164347	1	99793	1057273	15000000000
8989144	0x0feaaa0a38f18617badf147a8ec2bbaddc4133c8c85359c0fc365b650f9cbeb9	1	99793	191188	15000000000
8995666	0x21f7677a9feb8e67fd69f395df9fd6043f5b2ee89b115a7a99038c23bce0fc2e	1	99609	4994471	16500000000
8995666	0x23836b02efd883b487a149491f32a87a100eff9365d19025e880212367bb524a	1	99673	5094144	16500000000
8995666	0x4f8910d565c08691b6e703ee6fe9c2c1d85a916da261ea792035535b05fb6e43	1	99801	4795125	16500000000
8995666	0x6695c74de332a501b092bf46aa05eb008eab3e566e2cde3f06a4954ffb83b786	1	99737	4894862	16500000000
8995668	0x21bc9aaaace85ce9b9e306877d6dfc592153bce2dc5dff8a6d5568d8c7411dc6	1	99793	2102872	20700000000
8995668	0x7fb1409d80c648f159ad0bfae66f2f402f986e23c2512341fedc9985a49e17c6	1	99857	1803557	20700000000
8995668	0x8507b853f9204ff32ec943fcaaf9c4b3261b2be06d1d3e21b9a70b1506d99a91	1	99793	2003079	20700000000
8995668	0xd7883cd3f864b2f830a00ba28f7ca5504ea99f5298224153a6934a9ebdbbfd5d	1	99729	1903286	20700000000
8996175	0x78d19b19e75df403a760ee9abf91ef55bc49c78f74db1e99624a3005d43cc54a	1	99673	2708163	29250000000
8996175	0x7f7ab36525a4d0b14bb305f299f52fad9edf5e3d6b74135620bf7e1635159868	1	99801	2807964	29250000000
8996177	0x18137550a9ae8bc6ba868a712470b6f8edd4d7113d10fcea7a7ff26fc4f8f65f	1	99793	1117194	29250000000
8996186	0x99c03b93ef9f0aac93595220af7e30aff58e3342dfaea53dfb8be6d7b4ca8042	1	99921	957983	29250000000
8996211	0xb71adc5d0b2837d69bc167137655b3799ae2748917a7170b84c4234baacc417d	1	99801	4635301	22500000000
8996237	0x4216f85d1ee58bf566ea5d43ceee04c6beebe2c23c061310eef5ee8bf9423db2	1	99801	1198934	22500000000
8996237	0x75c76fdeea1f7ba6d3d105fec2748c251a4a2b72a94ee7c86985eda14715f554	1	84921	1099133	22500000000
8996249	0x7258b130cbc71540436cbcb73b917edfe1ee0eb72efed3c4910c5dd20d4da9c7	1	84921	1096831	22500000000
8996249	0xa1615dc245b012db35bf1914b5723abf46f9a6e83ec5c8881db4634e448543c2	1	99801	1196632	22500000000
8996259	0x146cc2731fcdc7be71c5e9e832dedc56a920ad16065d197c1ddb1555199568a8	1	99801	642580	22500000000
8996259	0x16ae7d448cf7dce9b049bdd869e6b92c9b07f4c75eb4f35c6665e43e4f46f518	1	84921	542779	22500000000
8996278	0x5d2ba483b25aac8399972a2f8120093e2457c88ea8dbbd8a85298b921f50b8e7	1	84921	293796	22500000000
8996278	0xadee3ee140109aa37a090f82d37754be71f8dd4c32494dcd00b14c5725f6e4b1	1	99801	393597	22500000000
8996292	0x44268e6141bec24b3c505bdbbe586f73aa6d5ff01fc7ba5a49da9a5b43eb0f6d	1	84921	1146301	22500000000
8996292	0xf3314cc39ab8b762c01ffcad15dfd87476f0a0962d951328ef83ba2acca21171	1	99801	1246102	22500000000
8996309	0x08477b6b365bccd02fc0a56f6dae03e273da7a0aa49e63ac7e5d0134f55bf25a	1	99801	443463	21000000000
8996309	0x54b2561b4ed975c3970b278b9558b617f32dafbc4a885f7e18ae31134a01ee59	1	84921	343662	21000000000
8996310	0xb366286d9e7c69519dc6d7fa79ad84a352443d677273a7ada99cf8163285e6f8	1	99929	3185643	21000000000
8996325	0x1dab13eb4adbd905a9c50a08362d6a6de74dfef027f5131bc03e89da64c75f6a	1	84921	1309961	21000000000
8996325	0xdab3e959aea06dd3311545a89cd1a77e8b08033fce107cfb91f475be7d147e22	1	84921	1225040	21000000000
8996687	0x3e614e4ef21b9bbc39989eb463ce0b360c46fd7e50c5a8d117b5c14ba0cdcd9b	1	99801	4473476	30000000000
8996687	0x447a260dea91f4296dc0de48af31f907e4a13725014f3e279b472019836f9015	1	99929	4373675	30000000000
8996687	0x516226d7480c596ff1caabd48f40bb04b3b9a6776f481d7c1bcde0edbb01cc5c	1	99801	4573277	30000000000
8996687	0x744e0f4317f3ace00638199054c9d8457dd40102ded5a9f4ef9f2e776c79e46a	1	99673	4772751	30000000000
8996687	0x9ce49b3b4b2cbfebbc0a7b9804440502a517116db755943832ef09b41c3188a7	1	99801	4673078	30000000000
8996689	0x187ebd8c1c555aedae57ead78c36d54b25c730b60017fc0cce97943b457c7305	1	99793	1587824	30000000000
8996689	0x46c2b3c1391fe4165161998e877140c87f523a76b809c46bcd779fa406a49a00	1	99793	1388238	30000000000
8996689	0xbe900f22c655cc40d284f112aae0e1b83d3f7148b773b5a0b4cb3c7a4a0ee890	1	99793	1488031	30000000000
8996689	0xe02988406df887ecdecfa1a1ab5b469bf33119545cfed3f84400e92f268fb1c6	1	99793	1288445	30000000000
8996689	0xee0670b5131452e97a57ee1e72fb044a02d7f28f4800c469c56a360883b9ff92	1	99921	1188652	30000000000
8996706	0xc7a3d66635567339d00934a0ee1b5a97955b5b8db42d1f598cad76fb3c01a5fc	1	99673	732346	37200000000
8996708	0xeb0431d4269dfb85c3110c678e7f7afcdbb1aa0a4a2dac971b509a6ddd54e0a6	1	99793	1359402	37200000000
8997178	0xaae607915b4735b1570355a98af42f2113780510fcdc30405923d1ebc68b005b	1	99801	3790290	51000000000
8997178	0xafd15c8f56cbd88bf6ced5a8dd79789a7e5e32c209949f9400186596b6804357	1	99929	3939576	51000000000
8997178	0xd7062a7bdb59d98c8ca850c4a9eecf57c21697a6322406c77e5645d52939e94c	1	99737	3590752	51000000000
8997178	0xee33f67a319cd0e3ff5fe3d449d56d875b9851e97a58559beac5f84ee6a0bbdb	1	99737	3690489	51000000000
8997188	0x05f3411f93f657fa548209e8567420a66f2a1b7f15eb5759da41cd9e06afae24	1	99801	612231	51000000000
